
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-08-17


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1281
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1281, -, 1.0, -, 8.7, 17.9, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA032", 7.62, Reverse Oblique, 42.87, 47.31, 573.04, 0.625, 1.0, RSN1281_CHICHI_HWA032-E.AT2, RSN1281_CHICHI_HWA032-N.AT2 , RSN1281_CHICHI_HWA032-V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1281 SRSS pSa (g)
20.0,0.00189863,0.00189863,0.00189863,0.00189863

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1281 Horizontal-1 pSa (g),RSN-1281 Horizontal-2 pSa (g),RSN-1281 Vertical pSa (g)
0.01,0.1542682,0.1106247,0.0906
0.02,0.1584309,0.1139807,0.099
0.022,0.1576446,0.1156181,0.106
0.025,0.1606408,0.1205935,0.1
0.029,0.1559843,0.123853,0.0983
0.03,0.1526495,0.1275479,0.0954
0.032,0.1546812,0.1301629,0.0934
0.035,0.1663744,0.1277471,0.111
0.036,0.1713893,0.1294734,0.116
0.04,0.1766405,0.1299768,0.118
0.042,0.1799302,0.133788,0.137
0.044,0.1956703,0.1415333,0.159
0.045,0.2001404,0.1427997,0.173
0.046,0.2020229,0.1418722,0.185
0.048,0.2063473,0.1365795,0.186
0.05,0.2119202,0.1353078,0.191
0.055,0.2448991,0.159426,0.172
0.06,0.2547557,0.1956112,0.184
0.065,0.2953677,0.2152589,0.175
0.067,0.3026191,0.2353771,0.174
0.07,0.3173964,0.2606248,0.225
0.075,0.3557056,0.316965,0.248
0.08,0.4499648,0.3416252,0.24
0.085,0.526392,0.4037178,0.218
0.09,0.4421142,0.5004061,0.198
0.095,0.5124971,0.4385576,0.229
0.1,0.5696045,0.3787718,0.213
0.11,0.7186636,0.3928557,0.237
0.12,0.5411342,0.4273328,0.209
0.13,0.4047152,0.4326366,0.193
0.133,0.4095595,0.394623,0.192
0.14,0.4049812,0.3303068,0.163
0.15,0.3659473,0.2664069,0.134
0.16,0.2693991,0.2635193,0.112
0.17,0.2510204,0.2613954,0.101
0.18,0.2856247,0.2620589,0.101
0.19,0.288489,0.2587712,0.11
0.2,0.2538398,0.2686473,0.123
0.22,0.2651576,0.3174577,0.134
0.24,0.2483045,0.3381421,0.145
0.25,0.2580124,0.3158912,0.147
0.26,0.3050439,0.2897529,0.161
0.28,0.2773798,0.2600341,0.156
0.29,0.3095327,0.2123543,0.17
0.3,0.3060313,0.2135116,0.192
0.32,0.3045421,0.2924167,0.203
0.34,0.3105951,0.3134226,0.163
0.35,0.28152,0.2935905,0.157
0.36,0.2483769,0.2625136,0.148
0.38,0.2557158,0.2410709,0.167
0.4,0.2885894,0.2157178,0.168
0.42,0.2341895,0.1942752,0.191
0.44,0.2457992,0.2314394,0.193
0.45,0.2435727,0.2455323,0.186
0.46,0.2376202,0.2477149,0.172
0.48,0.2191787,0.2630922,0.133
0.5,0.2153709,0.242942,0.117
0.55,0.1897401,0.2355632,0.136
0.6,0.1416478,0.1971961,0.131
0.65,0.1735921,0.151681,0.118
0.667,0.1656592,0.15666,0.118
0.7,0.1512053,0.1483615,0.12
0.75,0.1438188,0.1464163,0.124
0.8,0.1439999,0.1578669,0.118
0.85,0.1225143,0.1711174,0.103
0.9,0.1058011,0.1500648,0.0914
0.95,0.1227426,0.1135597,0.0838
1.0,0.123837,0.08416402,0.0661
1.1,0.09597369,0.08229972,0.0528
1.2,0.1076098,0.07809791,0.0454
1.3,0.1304606,0.06632565,0.0382
1.4,0.1159161,0.05003591,0.0415
1.5,0.07799438,0.0559682,0.0359
1.6,0.05131037,0.06835546,0.032
1.7,0.03473637,0.07168722,0.0316
1.8,0.02682305,0.06215995,0.0315
1.9,0.02509204,0.04984611,0.0327
2.0,0.02325498,0.03834768,0.0345
2.2,0.02099925,0.03112877,0.0332
2.4,0.01897243,0.02577668,0.0294
2.5,0.01697864,0.02367079,0.0291
2.6,0.01462566,0.02138981,0.0283
2.8,0.01002526,0.01667211,0.0251
3.0,0.00758798,0.01499293,0.0221
3.2,0.00620564,0.01946964,0.0173
3.4,0.00516805,0.02157822,0.0137
3.5,0.00483168,0.02112606,0.0125
3.6,0.00460449,0.01990805,0.0114
3.8,0.0042914,0.02047754,0.00958
4.0,0.00392385,0.01974151,0.0086
4.2,0.00347701,0.01600731,0.00901
4.4,0.0030579,0.01353875,0.00913
4.6,0.00272284,0.01296471,0.00883
4.8,0.00246485,0.01294255,0.00826
5.0,0.0022592,0.01267374,0.0103
5.5,0.00187202,0.0098008,0.00938
6.0,0.00157848,0.00648659,0.00904
6.5,0.00133593,0.00534506,0.00876
7.0,0.00113934,0.00610114,0.00892
7.5,0.00098276,0.00695907,0.00852
8.0,0.00085848,0.00672781,0.00842
8.5,0.00075695,0.00592015,0.00803
9.0,0.00067272,0.00565917,0.00751
9.5,0.00060235,0.00583362,0.00683
10.0,0.00054249,0.00590148,0.00666
11.0,0.00044631,0.00511657,0.00529
12.0,0.00037412,0.00352181,0.00415
13.0,0.00031816,0.00239246,0.00361
14.0,0.00027366,0.00225439,0.00311
15.0,0.00023802,0.00206884,0.00263
20.0,0.00013346,0.00189393,0.00188
